"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"张家港万达影城（万达广场店)","22.850
20.345","11.760
10.791","268.7160
219.5428","403"
"常熟万达影城（万达广场店)","21.710
20.279","11.340
10.872","246.1914
220.4732","361"
"常州万达影城（新北万达广场店）","21.200
19.701","10.997
10.494","233.1364
206.7422","337"
"常州万达影城（武进万达广场店）","20.741 ","11.244 ","297.7442","411"
"常州幸福蓝海国际影城（九洲店）","21.500
19.946","11.210
10.872","241.0150
216.8529","331"
"常州SFC上影影城（环球港IMAX店)","24.475
24.392","13.870
12.817","339.4682
312.6322","547"
"常州CGV影城（龙城天街店)","20.220
17.978","10.490
9.797","212.1078
176.1304","208"
"常州幸福蓝海国际影城（溧阳上河城IMAX店）","21.320 ","11.260 ","240.0632","386"
"金坛星轶IMAX影城（金坛吾悦广场旗舰店）","25.140
23.638","13.430
12.596","337.6302
297.7442","442"
"无锡万达影城（惠山万达广场店）","24.630
22.700","12.825
12.541","315.8798
284.6807","409"
"无锡万达影城（融创茂店）","21.180
19.977","11.030
11.265","233.6154
225.0409","353"
"无锡万达影城（新吴万达广场店) ","18.687 ","9.677 ","180.8340","354"
"无锡大世界影城（中山路IMAX激光店）","20.820
19.100
19.158","10.830
10.600
11.108","225.4806
202.4600
212.8070","378"
"无锡金逸影城（光美荟聚IMAX激光店）","23.140
23.220
21.768","12.340
12.680
11.778","285.5476
294.4296
256.3835","355"
"无锡CGV影城（八佰伴店) ","20.340 ","10.730 ","218.2482","192"
"无锡金逸影城（方圆荟店) ","21.840 ","12.030 ","262.7352","402"
"无锡大世界影城（江南大悦城店）","21.715 ","11.187 ","242.9257","368"
"无锡大世界影城（圆融IMAX店）","19.420 ","10.350 ","200.9970","199"
"无锡万达影城（滨湖万达广场店）","23.210
23.170","11.968
11.968","277.7772
277.2985","403"
"宜兴万达影城（万达广场店）","21.320
20.326","11.300
10.980","240.9160
223.1794","421"
"江阴万达影城（万达广场店）","  ","  ","","363"
"江阴金逸影城（美嘉城IMAX店）","25.750
23.962","13.860
12.762","356.8950
305.8030","349"
